name,price(USD),rating,image,price(NGN)
Apple MacBook Pro Retina 13 2015 | 3.1 i7 16GB 512GB Monterey + Warranty + Good,279.0,99.3,https://i.ebayimg.com/thumbs/images/g/7TIAAOSwbG1j9Rkn/s-l140.jpg,415152
"MacBook Pro 15 inch 2018, 2.6GHz i7, 32gb Memory, 512gb - Good Condition",430.99,100,https://i.ebayimg.com/thumbs/images/g/TGMAAOSwc39mc0kw/s-l140.jpg,641313
Macbook Pro 2016 13 inch Touch Bar - i7 - 16gb - 1 TB SSD,349.99,0,https://i.ebayimg.com/thumbs/images/g/EYMAAOSw5gplI0~d/s-l140.jpg,520785
"EXCELLENT Apple MacBook Pro 13"" / 3.1GHZ i5 TURBO / 256GB SSD",365.0,99.3,https://i.ebayimg.com/thumbs/images/g/aWUAAOSw8kFmbKyo/s-l140.jpg,543120
"New ListingApple MacBook Pro 15 A1990 2019 i9 2.9GHz, 16GB RAM, 512GB SSD, Radeon Pro 560X",65.0,99.6,https://i.ebayimg.com/thumbs/images/g/QvEAAOSwImZmfZK~/s-l140.jpg,96720
"Apple MacBook Pro 15 A1990 2019 i7 2.6GHz, 32GB RAM, 512GB SSD, Radeon Pro 555X",207.5,99.6,https://i.ebayimg.com/thumbs/images/g/UtEAAOSwIsJmfKnY/s-l140.jpg,308760
Apple Macbook Pro 15-Inch Mid-2015 i7 QuadCore 2.5GHz 16GB 512GB #F42,321.35,99.8,https://i.ebayimg.com/thumbs/images/g/iAAAAOSwOQJmZ-4W/s-l140.jpg,478169
"Apple MacBook Pro 15"" (500GB HD, Intel Core i7 2nd Gen, 2.20GHz, 4GB RAM, AMD...",87.13,100,https://i.ebayimg.com/thumbs/images/g/V0MAAOSwxddmV0H-/s-l140.jpg,129649
New ListingApple MacBook Pro 15.4 inch 2016 16GB RAM 256GB SSD Fair Condition Battery Issue,10.5,100,https://i.ebayimg.com/thumbs/images/g/-CIAAOSwLXRmfibN/s-l140.jpg,15624
APPLE MACBOOK PRO 15 INCH  SSD | QUAD CORE i7 3.2GHz TURBO - VERY GOOD,395.0,98.9,https://i.ebayimg.com/thumbs/images/g/xz8AAOSwvTJmccE8/s-l140.jpg,587760
"15"" Apple MacBook Pro 2018 2.9 i9 32GB 1TB SSD 560X Sonoma Touch Bar Gray + Good",579.0,99.3,https://i.ebayimg.com/thumbs/images/g/7M0AAOSwIUJifYCB/s-l140.jpg,861552
"Apple Macbook Pro Mid 2017 13"" A1708 I5 2.3GHz 8GB 256GB SSD MPXQ2LL/A Monterey",275.0,99.4,https://i.ebayimg.com/thumbs/images/g/7yQAAOSw4NtmIAYD/s-l140.jpg,409200
"Apple MacBook Pro A2289  13"" 2020 i5 1.4GHz  8GB RAM 256GB SSD",424.69,99.7,https://i.ebayimg.com/thumbs/images/g/t0QAAOSwbfFmagMl/s-l140.jpg,631939
SONOMA 2019+ Apple MacBook Pro 15 - 32GB 1TB SSD TOUCH BAR 4.8GHz i9 8 CORE,975.0,98.9,https://i.ebayimg.com/thumbs/images/g/0IcAAOSwMXRmfYlQ/s-l140.jpg,1450800
2012 macbook pro a1278 4gb 500gb cataline i5,18.21,97.9,https://i.ebayimg.com/thumbs/images/g/uIYAAOSwW85mOiai/s-l140.jpg,27096
"2012 Apple Macbook Pro 13"" A1278 i5 8GB RAM/128GB SSD + Power Adapters + Sonoma",146.09,100,https://i.ebayimg.com/thumbs/images/g/DqkAAOSwswxmdzi5/s-l140.jpg,217382
"Apple MacBook Pro A2141 i7-9750H 32GB/512GB Pro 5500M OS Sonoma, MVVL2LL/A",512.99,98.5,https://i.ebayimg.com/thumbs/images/g/FN4AAOSwDYlmavdx/s-l140.jpg,763329
"15"" MacBook Pro 2017 Gray 2.9 i7 16GB 512GB SSD 560 Ventura + Warranty + Good",399.0,99.3,https://i.ebayimg.com/thumbs/images/g/7M0AAOSwIUJifYCB/s-l140.jpg,593712
"New Listing2020 Chinese/Pinyin Apple MacBook Pro 13"" MYD92LL/A M1 3.2GHz/8GB/512GB - Good",51.0,98.5,https://i.ebayimg.com/thumbs/images/g/HOQAAOSwyppmazHf/s-l140.jpg,75888
"New ListingApple MacBook Pro 14,1 A1708 i7-7360U 2.30GHZ 8GB 256GB",255.0,100,https://i.ebayimg.com/thumbs/images/g/AeYAAOSw5QxmfX5j/s-l140.jpg,379440
"Apple MacBook Pro 13"" | 2015 3.1 i7 16GB 256GB SSD MF843LL/A Refurbished - Good",229.0,99.1,https://i.ebayimg.com/thumbs/images/g/JkQAAOSwkvhlu-mz/s-l140.jpg,340752
"Apple Macbook Pro 13"" I7 3.5 GHZ, A1706, 16GB, 512GB SSD Touch Bar",419.0,98.7,https://i.ebayimg.com/thumbs/images/g/Ri0AAOSwvAJmQp-f/s-l140.jpg,623472
PREMIUM Apple MacBook Pro Touch 16 inch 2.3GHz 8 Core i9 32GB 1TB SSD 5500M,950.0,98.9,https://i.ebayimg.com/thumbs/images/g/hx0AAOSw11pmeLrO/s-l140.jpg,1413600
"2023 Spanish MacBook Pro 16.2"" MNWC3LL/A w/M2 Pro 3.49GHz/16GB/512GB - Very Good",610.0,98.5,https://i.ebayimg.com/thumbs/images/g/vQUAAOSwxBBmey1g/s-l140.jpg,907680
"New Listing2020 Pinyin Apple MacBook Pro 13.3"" MWP42LL/A w/i5 2.0GHz/16GB/512GB - Good",19.99,98.5,https://i.ebayimg.com/thumbs/images/g/2psAAOSwLRpmagsy/s-l140.jpg,29745
"Apple MacBook Pro 13.3"" (128GB SSD, Intel Core i5 8th Gen., 3.90 GHz, 8GB)...",169.0,79.2,https://i.ebayimg.com/thumbs/images/g/1G0AAOSwNXFmAK~G/s-l140.jpg,251472
"EXCELLENT Apple MacBook Pro 13"" / 3.1GHZ i5 TURBO / 256GB SSD",349.0,98.9,https://i.ebayimg.com/thumbs/images/g/GRAAAOSwHRtmYIY7/s-l140.jpg,519312
EXCELLENT Apple MacBook Pro 13 RETINA INTEL CORE i7 2TB SSD 16GB RAM,549.0,98.9,https://i.ebayimg.com/thumbs/images/g/13IAAOSwGKhmHWSr/s-l140.jpg,816912
Apple 13.3 MacBook Pro 1.4GHz Intel Core i5 8GB RAM 256GB SSD MXK62LL/A Very,464.91,99.4,https://i.ebayimg.com/thumbs/images/g/zuEAAOSwo-Fj3XN0/s-l140.jpg,691786
